iter	Passed	Remaining
912	4376	417
913	4381	412
914	4385	407
915	4390	402
916	4395	397
917	4400	393
918	4405	388
919	4410	383
920	4414	378
921	4420	373
922	4425	369
923	4429	364
924	4434	359
925	4439	354
926	4444	349
927	4449	345
928	4453	340
929	4458	335
930	4462	330
931	4467	325
932	4471	321
933	4474	316
934	4479	311
935	4483	306
936	4489	301
937	4493	297
938	4497	292
939	4502	287
940	4507	282
941	4512	277
942	4517	273
943	4522	268
944	4526	263
945	4531	258
946	4537	253
947	4542	249
948	4547	244
949	4552	239
950	4558	234
951	4562	230
952	4568	225
953	4572	220
954	4576	215
955	4581	210
956	4585	206
957	4590	201
958	4594	196
959	4599	191
960	4603	186
961	4608	182
962	4613	177
963	4618	172
964	4623	167
965	4629	162
966	4634	158
967	4639	153
968	4643	148
969	4647	143
970	4652	138
971	4656	134
972	4663	129
973	4667	124
974	4672	119
975	4676	114
976	4681	110
977	4685	105
978	4689	100
979	4694	95
980	4699	91
981	4704	86
982	4708	81
983	4713	76
984	4717	71
985	4721	67
986	4726	62
987	4731	57
988	4736	52
989	4741	47
990	4746	43
991	4751	38
992	4756	33
993	4761	28
994	4765	23
995	4770	19
996	4774	14
997	4780	9
998	4785	4
999	4790	0
